collinear_features,model,corr_method,threshold,correlation,filteration,samples,n_features,n_informative,label
0,dt,sp,0.9,0.8645995487935565,N,1000,2000,20,data1
0,ada,sp,0.9,0.9675583502588313,N,1000,2000,20,data1
0,rf,sp,0.9,0.8675476628261926,0.2,1000,2000,20,data1
0,dt,sp,0.9,0.8675376723827976,0.2,1000,2000,20,data1
0,ada,sp,0.9,0.9698071433415849,0.2,1000,2000,20,data1
58,rf,sp,N,0.5372924201832345,N,1000,2000,20,data1
58,dt,sp,N,0.5425430047029131,N,1000,2000,20,data1
58,ada,sp,N,0.6597567569328181,N,1000,2000,20,data1
58,rf,sp,N,0.5535667917388795,0.2,1000,2000,20,data1
58,dt,sp,N,0.5450098689654099,0.2,1000,2000,20,data1
58,ada,sp,N,0.6616232269006362,0.2,1000,2000,20,data1
58,rf,sp,0.7,0.8015990225552713,N,1000,2000,20,data1
58,dt,sp,0.7,0.8137504248171199,N,1000,2000,20,data1
58,ada,sp,0.7,0.94378317164311,N,1000,2000,20,data1
58,rf,sp,0.7,0.8206183957051524,0.2,1000,2000,20,data1
58,dt,sp,0.7,0.8165509413693556,0.2,1000,2000,20,data1
58,ada,sp,0.7,0.9450813045845929,0.2,1000,2000,20,data1
58,rf,sp,0.9,0.6087566978912644,N,1000,2000,20,data1
58,dt,sp,0.9,0.6150766658067243,N,1000,2000,20,data1
58,ada,sp,0.9,0.7356294464716989,N,1000,2000,20,data1
58,rf,sp,0.9,0.6279045718536866,0.2,1000,2000,20,data1
58,dt,sp,0.9,0.6175877465153377,0.2,1000,2000,20,data1
58,ada,sp,0.9,0.7371341078738431,0.2,1000,2000,20,data1
98,rf,sp,N,0.46336984833286426,N,1000,2000,20,data1
98,dt,sp,N,0.44314029445775593,N,1000,2000,20,data1
98,ada,sp,N,0.5588559195822185,N,1000,2000,20,data1
98,rf,sp,N,0.4794068042360942,0.2,1000,2000,20,data1
98,dt,sp,N,0.44598030930444627,0.2,1000,2000,20,data1
98,ada,sp,N,0.5677428200038335,0.2,1000,2000,20,data1
98,rf,sp,0.7,0.8060263936803824,N,1000,2000,20,data1
98,dt,sp,0.7,0.8202505349542435,N,1000,2000,20,data1
98,ada,sp,0.7,0.9358768815479347,N,1000,2000,20,data1
98,rf,sp,0.7,0.8244520312386537,0.2,1000,2000,20,data1
98,dt,sp,0.7,0.823205906222073,0.2,1000,2000,20,data1
98,ada,sp,0.7,0.9382522141787881,0.2,1000,2000,20,data1
98,rf,sp,0.9,0.536168357230324,N,1000,2000,20,data1
98,dt,sp,0.9,0.5432456716151771,N,1000,2000,20,data1
98,ada,sp,0.9,0.6512080929172462,N,1000,2000,20,data1
98,rf,sp,0.9,0.5517610078727995,0.2,1000,2000,20,data1
98,dt,sp,0.9,0.5459239361533665,0.2,1000,2000,20,data1
98,ada,sp,0.9,0.6524457095108456,0.2,1000,2000,20,data1
137,rf,sp,N,0.4123579641078504,N,1000,2000,20,data1
137,dt,sp,N,0.386030506575371,N,1000,2000,20,data1
137,ada,sp,N,0.5042803687483104,N,1000,2000,20,data1
137,rf,sp,N,0.42730529208758533,0.2,1000,2000,20,data1
137,dt,sp,N,0.38937865480423384,0.2,1000,2000,20,data1
137,ada,sp,N,0.5113128610770872,0.2,1000,2000,20,data1
137,rf,sp,0.7,0.8085326374584023,N,1000,2000,20,data1
137,dt,sp,0.7,0.8232276014675625,N,1000,2000,20,data1
137,ada,sp,0.7,0.9346240482843136,N,1000,2000,20,data1
137,rf,sp,0.7,0.8259574398702639,0.2,1000,2000,20,data1
137,dt,sp,0.7,0.8260032108740725,0.2,1000,2000,20,data1
137,ada,sp,0.7,0.936147711098405,0.2,1000,2000,20,data1
137,rf,sp,0.9,0.5035188237798348,N,1000,2000,20,data1
137,dt,sp,0.9,0.5130741090358473,N,1000,2000,20,data1
137,ada,sp,0.9,0.6102087435614675,N,1000,2000,20,data1
137,rf,sp,0.9,0.517224186323569,0.2,1000,2000,20,data1
137,dt,sp,0.9,0.5153422184646592,0.2,1000,2000,20,data1
137,ada,sp,0.9,0.6124840212215241,0.2,1000,2000,20,data1
176,rf,sp,N,0.38740496289148757,N,1000,2000,20,data1
176,dt,sp,N,0.3540738881831068,N,1000,2000,20,data1
176,ada,sp,N,0.4701392910648902,N,1000,2000,20,data1
176,rf,sp,N,0.40162073573046864,0.2,1000,2000,20,data1
176,dt,sp,N,0.35604632985861917,0.2,1000,2000,20,data1
176,ada,sp,N,0.47212429204012407,0.2,1000,2000,20,data1
176,rf,sp,0.7,0.7873076033150064,N,1000,2000,20,data1
176,dt,sp,0.7,0.8014613360910775,N,1000,2000,20,data1
176,ada,sp,0.7,0.922860721929041,N,1000,2000,20,data1
176,rf,sp,0.7,0.8054307672259956,0.2,1000,2000,20,data1
176,dt,sp,0.7,0.8042471718552378,0.2,1000,2000,20,data1
176,ada,sp,0.7,0.9252019213656083,0.2,1000,2000,20,data1
176,rf,sp,0.9,0.49297959524858126,N,1000,2000,20,data1
176,dt,sp,0.9,0.5091162917393703,N,1000,2000,20,data1
176,ada,sp,0.9,0.6001563923530392,N,1000,2000,20,data1
176,rf,sp,0.9,0.5048720315832992,0.2,1000,2000,20,data1
176,dt,sp,0.9,0.510835200854102,0.2,1000,2000,20,data1
176,ada,sp,0.9,0.6038160073567185,0.2,1000,2000,20,data1
